ID	type	select	select1	select2	Object	Name	String
Ch1_Intro_01	talk	FALSE				유성	...
Ch1_Intro_02	talk	FALSE				유성	"... 눈, 부셔어... 커튼 좀 쳐줘..."
Ch1_Intro_03	talk	FALSE				유성	혜성아…
Ch1_Intro_04	talk	FALSE				유성	"... 이제 나밖에 없었지, 참."
Ch1_Intro_05	talk	FALSE				유성	꼬르륵...
Ch1_Intro_06	talk	FALSE				유성	오늘은 또 어떻게 살아야 하지. 식량이...
Ch1_Intro_07	end						end
Ch1_Intro_08	talk	FALSE				유성	...
Ch1_Intro_09	talk	FALSE				유성	어제 다 먹었었나? 없네.
Ch1_Intro_10	talk	FALSE				유성	"으음, 찾으러 나가야겠네. 여기서 가만 있을 수는 없으니까."
Ch1_Intro_11	talk	FALSE				유성	누가 그냥 먹여 살려줬으면 좋겠다…
Ch1_Intro_12	talk	FALSE				유성	이상한 소리 하지 말고 얼른 가자.
Ch1_Intro_13	end						end
Ch1_Obj_01_01	talk	FALSE			SavePoint	유성	잠깐만 쉬었다 갈까…
Ch1_Obj_02_01	select	TRUE	발자국 없는 범	울지 않는 부엉이	SelectTest	유성	무엇을 선택할까?
Ch1_Obj_02_02	end						end
